Unnamed: 0,searchq,date,T_flag,cart,click,seen,Unique_session_id,Unique_session_id_clicked,new_interval,Clickrate,Clickrate_total
140.0,3second,2021-09-19,12,0,0,16,1,0,2021-09-19 12:00:00,0.0,0.0
141.0,3second,2021-09-19,15,0,10,96,2,2,2021-09-19 15:00:00,100.0,10.42
142.0,3second,2021-09-19,18,0,3,96,2,1,2021-09-19 18:00:00,50.0,3.12
143.0,3second,2021-09-19,21,0,0,0,0,0,2021-09-19 21:00:00,0.0,0.0
144.0,3second,2021-09-20,0,0,0,16,1,0,2021-09-20 00:00:00,0.0,0.0
145.0,3second,2021-09-20,3,0,0,0,0,0,2021-09-20 03:00:00,0.0,0.0
146.0,3second,2021-09-20,6,0,1,96,2,1,2021-09-20 06:00:00,50.0,1.04
147.0,3second,2021-09-20,9,0,0,0,0,0,2021-09-20 09:00:00,0.0,0.0
148.0,3second,2021-09-20,12,0,0,0,0,0,2021-09-20 12:00:00,0.0,0.0
149.0,3second,2021-09-20,15,0,0,32,2,0,2021-09-20 15:00:00,0.0,0.0
150.0,3second,2021-09-20,18,0,1,64,2,1,2021-09-20 18:00:00,50.0,1.56
151.0,3second,2021-09-20,21,0,0,64,1,0,2021-09-20 21:00:00,0.0,0.0
152.0,3second,2021-09-21,0,0,1,64,2,1,2021-09-21 00:00:00,50.0,1.56
153.0,3second,2021-09-21,3,0,0,16,1,0,2021-09-21 03:00:00,0.0,0.0
154.0,3second,2021-09-21,6,0,0,16,1,0,2021-09-21 06:00:00,0.0,0.0
155.0,3second,2021-09-21,9,0,0,0,0,0,2021-09-21 09:00:00,0.0,0.0
156.0,3second,2021-09-21,12,0,0,16,1,0,2021-09-21 12:00:00,0.0,0.0
157.0,3second,2021-09-21,15,0,2,80,3,1,2021-09-21 15:00:00,33.33,2.5
158.0,3second,2021-09-21,18,0,0,16,1,0,2021-09-21 18:00:00,0.0,0.0
159.0,3second,2021-09-21,21,0,10,298,3,3,2021-09-21 21:00:00,100.0,3.36
160.0,3second,2021-09-22,0,0,1,48,1,1,2021-09-22 00:00:00,100.0,2.08
161.0,3second,2021-09-22,3,0,0,0,0,0,2021-09-22 03:00:00,0.0,0.0
162.0,3second,2021-09-22,6,0,0,0,0,0,2021-09-22 06:00:00,0.0,0.0
163.0,3second,2021-09-22,9,0,2,48,1,1,2021-09-22 09:00:00,100.0,4.17
164.0,3second,2021-09-22,12,0,1,64,4,1,2021-09-22 12:00:00,25.0,1.56
165.0,3second,2021-09-22,15,0,2,48,3,2,2021-09-22 15:00:00,66.67,4.17
166.0,3second,2021-09-22,18,0,1,16,1,1,2021-09-22 18:00:00,100.0,6.25
167.0,3second,2021-09-22,21,0,0,0,0,0,2021-09-22 21:00:00,0.0,0.0
168.0,3second,2021-09-23,0,0,0,0,0,0,2021-09-23 00:00:00,0.0,0.0
169.0,3second,2021-09-23,3,0,1,64,2,1,2021-09-23 03:00:00,50.0,1.56
170.0,3second,2021-09-23,6,0,0,0,0,0,2021-09-23 06:00:00,0.0,0.0
171.0,3second,2021-09-23,9,0,0,0,0,0,2021-09-23 09:00:00,0.0,0.0
172.0,3second,2021-09-23,12,0,0,0,0,0,2021-09-23 12:00:00,0.0,0.0
173.0,3second,2021-09-23,15,0,0,0,0,0,2021-09-23 15:00:00,0.0,0.0
174.0,3second,2021-09-23,18,0,2,64,3,1,2021-09-23 18:00:00,33.33,3.12
175.0,3second,2021-09-23,21,0,1,64,3,1,2021-09-23 21:00:00,33.33,1.56
176.0,3second,2021-09-24,0,0,3,64,2,2,2021-09-24 00:00:00,100.0,4.69
